 beta_(final_value/initial_value)________________________________________ (xcm005)______________________      1.1503E+00    
 beta_(range_normalised)_________________________________________________ (nitvar005)___________________      1.0609E-01    
 fbetatry________________________________________________________________ (itvar006)____________________      7.9569E-01    
 fbetatry_(final_value/initial_value)____________________________________ (xcm006)______________________      1.0609E+00    
 fbetatry_(range_normalised)_____________________________________________ (nitvar006)___________________      7.9362E-01    
 q_______________________________________________________________________ (itvar007)____________________      6.3065E+00    
 q_(final_value/initial_value)___________________________________________ (xcm007)______________________      9.8539E-01    
 q_(range_normalised)____________________________________________________ (nitvar007)___________________      1.9450E-01    
 hfact___________________________________________________________________ (itvar008)____________________      1.0381E+00    
 hfact_(final_value/initial_value)_______________________________________ (xcm008)______________________      1.0278E+00    
 hfact_(range_normalised)________________________________________________ (nitvar008)___________________      2.9393E-01    
 flhthresh_______________________________________________________________ (itvar009)____________________      2.7291E+00    
 flhthresh_(final_value/initial_value)___________________________________ (xcm009)______________________      9.5759E-01    
 flhthresh_(range_normalised)____________________________________________ (nitvar009)___________________      1.7291E-06    
 ftaulimit_______________________________________________________________ (itvar010)____________________      9.4688E-01    
 ftaulimit_(final_value/initial_value)___________________________________ (xcm010)______________________      9.4688E-01    
 ftaulimit_(range_normalised)____________________________________________ (nitvar010)___________________      9.4635E-01    
 fgwped__________________________________________________________________ (itvar011)____________________      1.0043E-01    
 fgwped_(final_value/initial_value)______________________________________ (xcm011)______________________      1.0043E+00    
 fgwped_(range_normalised)_______________________________________________ (nitvar011)___________________      4.8151E-04    
 fgwsep__________________________________________________________________ (itvar012)____________________      9.9923E-02    
 fgwsep_(final_value/initial_value)______________________________________ (xcm012)______________________      9.9923E-01    
 fgwsep_(range_normalised)_______________________________________________ (nitvar012)___________________      9.9922E-01    
 fne0____________________________________________________________________ (itvar013)____________________      8.1226E-02    
 fne0_(final_value/initial_value)________________________________________ (xcm013)______________________      1.0153E+00    
 fne0_(range_normalised)_________________________________________________ (nitvar013)___________________      8.1118E-02    
 fradpwr_________________________________________________________________ (itvar014)____________________      6.8431E-01    
 fradpwr_(final_value/initial_value)_____________________________________ (xcm014)______________________      1.0692E+00    
 fradpwr_(range_normalised)______________________________________________ (nitvar014)___________________      6.8399E-01    
 fimp(13)________________________________________________________________ (itvar015)____________________      6.9231E-04    
 fimp(13)_(final_value/initial_value)____________________________________ (xcm015)______________________      1.3846E+00    
 fimp(13)_(range_normalised)_____________________________________________ (nitvar015)___________________      6.9231E-02    
 beta_div________________________________________________________________ (itvar016)____________________      5.0000E-01    
 beta_div_(final_value/initial_value)____________________________________ (xcm016)______________________      1.0000E+00    
 beta_div_(range_normalised)_____________________________________________ (nitvar016)___________________      8.1633E-02    
 fpsepr__________________________________________________________________ (itvar017)____________________      1.0295E+00    
 fpsepr_(final_value/initial_value)______________________________________ (xcm017)______________________      1.0295E+00    
 fpsepr_(range_normalised)_______________________________________________ (nitvar017)___________________      8.5672E-01    
 fiooic__________________________________________________________________ (itvar018)____________________      6.5990E-01    
 fiooic_(final_value/initial_value)______________________________________ (xcm018)______________________      9.9985E-01    
 fiooic_(range_normalised)_______________________________________________ (nitvar018)___________________      6.3765E-04    
 thkcas__________________________________________________________________ (itvar019)____________________      2.6010E-01    
 thkcas_(final_value/initial_value)______________________________________ (xcm019)______________________      1.0004E+00    
 thkcas_(range_normalised)_______________________________________________ (nitvar019)___________________      9.9985E-01    
 dr_tf_wp________________________________________________________________ (itvar020)____________________      4.2362E-01    
 dr_tf_wp_(final_value/initial_value)____________________________________ (xcm020)______________________      1.0591E+00    
 dr_tf_wp_(range_normalised)_____________________________________________ (nitvar020)___________________      2.4725E-01    
 fstrcase________________________________________________________________ (itvar021)____________________      5.1781E-01    
 fstrcase_(final_value/initial_value)____________________________________ (xcm021)______________________      5.1781E-01    
 fstrcase_(range_normalised)_____________________________________________ (nitvar021)___________________      5.0832E-02    
 fstrcond________________________________________________________________ (itvar022)____________________      1.2949E+00    
 fstrcond_(final_value/initial_value)____________________________________ (xcm022)______________________      9.3158E-01    
 fstrcond_(range_normalised)_____________________________________________ (nitvar022)___________________      1.2940E-01    
 bore____________________________________________________________________ (itvar023)____________________      1.5001E-01    
 bore_(final_value/initial_value)________________________________________ (xcm023)______________________      1.0001E+00    
 bore_(range_normalised)_________________________________________________ (nitvar023)___________________      1.0358E-01    
 shldith_________________________________________________________________ (itvar024)____________________      4.1569E-01    
 shldith_(final_value/initial_value)_____________________________________ (xcm024)______________________      9.7581E-01    
 shldith_(range_normalised)______________________________________________ (nitvar024)___________________      6.0359E-01    
 fradwall________________________________________________________________ (itvar025)____________________      6.7957E-01    
 fradwall_(final_value/initial_value)____________________________________ (xcm025)______________________      6.7957E-01    
 fradwall_(range_normalised)_____________________________________________ (nitvar025)___________________      6.7634E-01    
 fipir___________________________________________________________________ (itvar026)____________________      5.8476E-01    
 fipir_(final_value/initial_value)_______________________________________ (xcm026)______________________      1.0082E+00    
 fipir_(range_normalised)________________________________________________ (nitvar026)___________________      5.8435E-01    
 Beta_consistency__________________normalised_residue____________________ (eq_con001)___________________     -4.4409E-16    
 Global_power_balance_consistency__normalised_residue____________________ (eq_con002)___________________      2.2204E-16    
 Fusion_power_upper_limit__________normalised_residue____________________ (eq_con009)___________________      1.9984E-15    
 Density_upper_limit_______________normalised_residue____________________ (eq_con005)___________________      2.2204E-16    
 Beta_upper_limit__________________normalised_residue____________________ (eq_con024)___________________     -0.0000E+00    
 L-H_power_threshold_limit_________normalised_residue____________________ (eq_con015)___________________     -7.1054E-15    
 taup/taueff_______________________normalised_residue____________________ (eq_con062)___________________      4.4409E-16    
 ne0_>_neped_______________________normalised_residue____________________ (eq_con081)___________________     -0.0000E+00    
 Radiation_fraction_upper_limit____normalised_residue____________________ (eq_con017)___________________     -2.1094E-15    
 Zeff_limit________________________normalised_residue____________________ (eq_con064)___________________     -0.0000E+00    
 Psep_/_R_upper_limit______________normalised_residue____________________ (eq_con056)___________________      7.1054E-15    
 I_op_/_I_critical_(TF_coil)_______normalised_residue____________________ (eq_con033)___________________      2.2204E-16    
 TF_coil_case_stress_upper_limit___normalised_residue____________________ (eq_con031)___________________      1.1546E-14    
 TF_coil_conduit_stress_upper_lim__normalised_residue____________________ (eq_con032)___________________      4.4409E-16    
 Radial_build_consistency__________normalised_residue____________________ (eq_con011)___________________      7.1010E-13    
 Upper_Lim._on_Radiation_Wall_load_normalised_residue____________________ (eq_con067)___________________     -6.6613E-16    
 Injection_power_upper_limit_______normalised_residue____________________ (eq_con030)___________________      2.2204E-16    
 Ip/Irod_upper_limit_______________normalised_residue____________________ (eq_con046)___________________     -3.3307E-16    
 # Final Feasible Point #
 # STEP Costing Model (2017 US$) #
 # 12. Site Permits #
 Site_Permits_(M$)_______________________________________________________ (step12)______________________      2.0000E+02    
 # 13. Plant Licensing #
 Plant_Licensing_(M$)____________________________________________________ (step13)______________________      1.0000E+02    
 # 20. Land and Rights #
 Land_(M$)_______________________________________________________________ (step2001)____________________      3.5000E+02    
 Site_Preparation_(M$)___________________________________________________ (step2002)____________________      8.9000E-01    
 Total_Account_20_Cost_(M$)______________________________________________ (step20)______________________      3.5089E+02    
 # 21. Building and Site Service Infrastructure #
 Site_Improvements_(M$)__________________________________________________ (step2101)____________________      1.2718E+03    
 Reactor_Building_(M$)___________________________________________________ (step2102)____________________      4.9393E+02    
 Turbine_Building_(M$)___________________________________________________ (step2103)____________________      2.7334E+02    
 Cooling_System_Structures_(M$)__________________________________________ (step2104)____________________      9.4057E+01    
 Electrical_Equipment_and_Power_Supply_Building_(M$)_____________________ (step2105)____________________      1.0318E+02    
 Auxiliary_Services_Building_(M$)________________________________________ (step2106)____________________      4.3132E+00    
 Hot_Cell_(M$)___________________________________________________________ (step2107)____________________      1.7266E+02    
 Reactor_Service_Building_(M$)___________________________________________ (step2108)____________________      2.4551E+01    
 Service_Water_Building_(M$)_____________________________________________ (step2109)____________________      5.4715E+00    
 Fuel_Handling_and_Storage_Building_(M$)_________________________________ (step2110)____________________      6.1833E+01    
 Control_Room_(M$)_______________________________________________________ (step2111)____________________      3.7617E+01    
 AC_Power_Supply_Building_(M$)___________________________________________ (step2112)____________________      3.3117E+02    
 Admin_Building_(M$)_____________________________________________________ (step2113)____________________      9.0745E+01    
 Site_Service_(M$)_______________________________________________________ (step2114)____________________      3.3082E+01    
 Cryogenics_and_Inert_Gas_Storage_Building_(M$)__________________________ (step2115)____________________      1.3005E+02    
 Security_Building_(M$)__________________________________________________ (step2116)____________________      1.4896E+01    
 Ventilation_Stack_(M$)__________________________________________________ (step2117)____________________      5.8990E+00    
 Waste_Facilities_Buildings_(M$)_________________________________________ (step2118)____________________      6.6234E+02    
 Spares_(M$)_____________________________________________________________ (step2198)____________________      7.6220E+01    
 Total_Account_21_Cost_(M$)______________________________________________ (step21)______________________      3.8872E+03    
 # 22. Reactor Plant Equipment #
 Total_First_Wall_Cost_(M$)______________________________________________ (step22010101)________________      7.9831E+02    
 Blanket_Multiplier_Material_(M$)________________________________________ (step2201010201)______________      8.1127E+02    
 Blanket_Breeder_Material_(M$)___________________________________________ (step2201010202)______________      4.8318E+01    
 Blanket_Steel_Costs_(M$)________________________________________________ (step2201010203)______________      1.5064E+03    
 Total_Blanket_Cost_(M$)_________________________________________________ (step22010102)________________      2.3660E+03    
 Total_Account_22.01.01_Cost_(M$)________________________________________ (step220101)__________________      3.1643E+03    
 Shield_(M$)_____________________________________________________________ (step220102)__________________      6.1083E+01    
 TF_Coils_(M$)___________________________________________________________ (step22010301)________________      4.9550E+02    
 PF_Coils_(M$)___________________________________________________________ (step22010302)________________      1.3797E+03    
 Central_Solenoid_(M$)___________________________________________________ (step22010303)________________      4.2352E+01    
 Control_Coils_(M$)______________________________________________________ (step22010304)________________      2.3358E+01    
 Auxiliary_Heating_and_Current_Drive_(M$)________________________________ (step220104)__________________      3.0655E+03    
 Primary_Structure_and_Support_(M$)______________________________________ (step220105)__________________      3.0809E+02    
 Reactor_Vacuum_System_(M$)______________________________________________ (step220106)__________________      3.1707E+01    
 Power_Supplies_(M$)_____________________________________________________ (step220107)__________________      3.4513E+02    
 Divertor_(M$)___________________________________________________________ (step220110)__________________      7.6622E+02    
 Total_Account_22.01_Cost_(M$)___________________________________________ (step2201)____________________      9.6830E+03    
 Heat_Transfer_System_(M$)_______________________________________________ (step2202)____________________      8.0215E+01    
 Total_Account_22.02_Cost_(M$)___________________________________________ (step2202)____________________      8.0215E+01    
 Cryoplant_(M$)__________________________________________________________ (step2203)____________________      1.0759E+02    
 Total_Account_22.03_Cost_(M$)___________________________________________ (step2203)____________________      1.0759E+02    
 Liquid_Waste_(M$)_______________________________________________________ (step220401)__________________      9.5307E+00    
 Gaseous_Waste_(M$)______________________________________________________ (step220402)__________________      1.0096E+01    
 Solid_Waste_(M$)________________________________________________________ (step220403)__________________      7.2910E+00    
 Total_Account_22.04_Cost_(M$)___________________________________________ (step2204)____________________      2.6917E+01    
 Fuel_Handling_and_Storage_(M$)__________________________________________ (step2205)____________________      2.1648E+02    
 Total_Account_22.05_Cost_(M$)___________________________________________ (step2205)____________________      2.1648E+02    
 Maintenance_Equipment_(M$)______________________________________________ (step220601)__________________      0.0000E+00    
 Special_Heating_Systems_(M$)____________________________________________ (step220602)__________________      0.0000E+00    
 Coolant_Storage_(M$)____________________________________________________ (step220603)__________________      1.3438E+00    
 Gas_System_(M$)_________________________________________________________ (step220604)__________________      5.2111E-02    
 Fluid_Leak_Detection_(M$)_______________________________________________ (step220606)__________________      1.1219E+01    
 Closed_Loop_Coolant_System_(M$)_________________________________________ (step220607)__________________      1.1047E+01    
 Standby_Cooling_System_(M$)_____________________________________________ (step220608)__________________      6.5054E+00    
 Total_Account_22.06_Cost_(M$)___________________________________________ (step2206)____________________      3.0167E+01    
 Instrumentation_and_Control_(M$)________________________________________ (step2207)____________________      1.3129E+02    
 Total_Account_22.07_Cost_(M$)___________________________________________ (step2207)____________________      1.3129E+02    
 Spares_(M$)_____________________________________________________________ (step2298)____________________      1.2399E+03    
 Total_Account_22_Cost_(M$)______________________________________________ (step22)______________________      1.1516E+04    
 # 23. Turbine Plant Equipment #
 Turbine_System_(M$)_____________________________________________________ (step23a)_____________________      4.8304E+02    
 Heat_Rejection_(M$)_____________________________________________________ (step2303)____________________      9.2217E+01    
 Spares_(M$)_____________________________________________________________ (step2398)____________________      8.0593E+00    
 Total_Account_23_Cost_(M$)______________________________________________ (step23)______________________      5.8331E+02    
 # 24. Electric Plant Equipment #
 Switch_Gear_(M$)________________________________________________________ (step2401)____________________      1.6442E+01    
 Station_Service_Equipment_(M$)__________________________________________ (step2402)____________________      4.4710E+01    
 Switchboards_(M$)_______________________________________________________ (step2403)____________________      2.5959E+00    
 Protective_Equipment_(M$)_______________________________________________ (step2404)____________________      3.2967E+00    
 Electrical_Structures_(M$)______________________________________________ (step2405)____________________      2.8963E+01    
 Power_and_Control_Wiring_(M$)___________________________________________ (step2406)____________________      2.5210E+01    
 Electric_Lighting_(M$)__________________________________________________ (step2407)____________________      1.6016E+01    
 Spares_(M$)_____________________________________________________________ (step2498)____________________      1.4276E+00    
 Total_Account_24_Cost_(M$)______________________________________________ (step24)______________________      1.3866E+02    
 # 25. Miscellaneous Plant Equipment #
 Transport_and_Lifting_Equipment_(M$)____________________________________ (step2501)____________________      2.0532E+01    
 Air_and_Water_Service_System_(M$)_______________________________________ (step2502)____________________      1.0496E+02    
 Communications_Equipment_(M$)___________________________________________ (step2503)____________________      1.3515E+01    
 Furnishing_and_Fixtures_(M$)____________________________________________ (step2504)____________________      2.6089E+00    
 Spares_(M$)_____________________________________________________________ (step2598)____________________      1.8211E+00    
 Total_Account_25_Cost_(M$)______________________________________________ (step25)______________________      1.4343E+02    
 # 27. Remote Handling #
 Remote_Handing_(M$)_____________________________________________________ (step2701)____________________      1.2689E+03    
 Total_Account_27_Cost_(M$)______________________________________________ (step27)______________________      1.2689E+03    
 # Plant Direct Cost #
 Plant_direct_cost_(M$)__________________________________________________ (cdirt)_______________________      1.8188E+04    
 # Indirect Cost #
 Construction_Facilities,_Equipment_and_Services_(M$)____________________ (step91)______________________      4.5470E+03    
 Engineering_and_Costruction_Management_Services_(M$)____________________ (step92)______________________      5.9111E+03    
 Other_Costs_(M$)________________________________________________________ (step93)______________________      2.7282E+03    
 # Constructed Cost #
 Constructed_Cost_(M$)___________________________________________________ (concost)_____________________      3.1374E+04    
 # Interest during Construction #
 Interest_during_construction_(M$)_______________________________________ (moneyint)____________________      5.1768E+03    
 # Total Capital Investment #
 Total_capital_investment_(M$)___________________________________________ (capcost)_____________________      3.6551E+04    
 # Cost of Electricity, 2017 US$ #
 First_wall_/_blanket_life_(years)_______________________________________ (fwbllife)____________________      5.2861E+00    
 Divertor_life_(years)___________________________________________________ (divlife.)____________________      5.5754E-02    
 Centrepost_life_(years)_________________________________________________ (cplife.)_____________________      6.6890E-01    
 Cost_of_electricity_(m$/kWh)____________________________________________ (coe)_________________________      8.0630E+03    
 # Operations & Maintenance #
 Nth_of_a_kind_factor____________________________________________________ (fkind)_______________________      1.0000E+00    
 # Plant Availability #
 Allowable_blanket_neutron_fluence_(MW-yr/m2)____________________________ (abktflnc)____________________      9.0000E+00    
 Allowable_divertor_heat_fluence_(MW-yr/m2)______________________________ (adivflnc)____________________      1.9000E+00    
 First_wall_/_blanket_lifetime_(years)___________________________________ (bktlife)_____________________      5.2861E+00 OP 
 Divertor_lifetime_(years)_______________________________________________ (divlife)_____________________      5.5754E-02 OP 
 Centrepost_lifetime_(years)_____________________________________________ (cplife)______________________      6.6890E-01 OP 
 Heating/CD_system_lifetime_(years)______________________________________ (cdrlife)_____________________      5.2861E+00 OP 
 Total_plant_lifetime_(years)____________________________________________ (tlife)_______________________      3.0000E+01    
 Total_plant_availability_fraction_______________________________________ (cfactr)______________________      7.5000E-01    
 Number_of_fusion_cycles_to_reach_allowable_fw/blanket_DPA_______________ (bktcycles)___________________      1.0024E+05    
 # Plasma #
 Tokamak_aspect_ratio_=_Spherical,_itart_=_1_____________________________ (itart)_______________________      1.0000E+00    
 Major_radius_(m)________________________________________________________ (rmajor)______________________      3.6000E+00    
 Minor_radius_(m)________________________________________________________ (rminor)______________________      2.0000E+00    
 Aspect_ratio____________________________________________________________ (aspect)______________________      1.8000E+00    
 Elongation,_X-point_(input_value_used)__________________________________ (kappa)_______________________      2.9900E+00    
 Elongation,_95%_surface_(calculated_from_kappa)_________________________ (kappa95)_____________________      2.6696E+00    
 Elongation,_area_ratio_calc.____________________________________________ (kappaa)______________________      2.6408E+00    
 Triangularity,_X-point_(input_value_used)_______________________________ (triang)______________________      5.4000E-01    
 Triangularity,_95%_surface_(calculated_from_triang)_____________________ (triang95)____________________      3.6000E-01    
 Plasma_poloidal_perimeter_(m)___________________________________________ (pperim)______________________      2.6122E+01    
 Plasma_cross-sectional_area_(m2)________________________________________ (xarea)_______________________      3.3185E+01    
 Plasma_surface_area_(m2)________________________________________________ (sarea)_______________________      5.4434E+02 OP 
 Plasma_volume_(m3)______________________________________________________ (vol)_________________________      7.1230E+02 OP 
 Plasma_current_scaling_law_used_________________________________________ (icurr)_______________________              9    
 Plasma_current_(MA)_____________________________________________________ (plascur/1D6)_________________      2.3025E+01    
 Current_density_profile_factor__________________________________________ (alphaj)______________________      1.0000E-01    
 Plasma_internal_inductance,_li__________________________________________ (rli)_________________________      2.7000E-01    
 Vertical_field_at_plasma_(T)____________________________________________ (bvert)_______________________     -1.5205E+00    
 Vacuum_toroidal_field_at_R_(T)__________________________________________ (bt)__________________________      3.2000E+00    
 Average_poloidal_field_(T)______________________________________________ (bp)__________________________      1.1076E+00    
 Total_field_(sqrt(bp^2_+_bt^2))_(T)_____________________________________ (btot)________________________      3.3863E+00    
 Safety_factor_on_axis___________________________________________________ (q0)__________________________      2.8600E+00    
 Safety_factor_at_95%_flux_surface_______________________________________ (q95)_________________________      6.3065E+00 ITV
 Cylindrical_safety_factor_(qcyl)________________________________________ (qstar)_______________________      3.6967E+00    
 Total_plasma_beta_______________________________________________________ (beta)________________________      1.1503E-01 ITV
 Total_poloidal_beta_____________________________________________________ (betap)_______________________      1.0752E+00 OP 
 Total_toroidal_beta_____________________________________________________ ______________________________      1.2881E-01 OP 
 Fast_alpha_beta_________________________________________________________ (betaft)______________________      1.4057E-02 OP 
 Beam_ion_beta___________________________________________________________ (betanb)______________________      0.0000E+00 OP 
 (Fast_alpha_+_beam_physics_variables.beta)/(thermal_physics_variables.be (gammaft)_____________________      1.3922E-01 OP 
 Thermal_beta____________________________________________________________ ______________________________      1.0098E-01 OP 
 Thermal_poloidal_beta___________________________________________________ ______________________________      9.4377E-01 OP 
 Thermal_toroidal_physics_variables.beta_(=_beta-exp)____________________ ______________________________      1.1307E-01 OP 
 2nd_stability_physics_variables.beta_:_beta_p_/_(R/a)___________________ (eps*betap)___________________      5.9731E-01    
 2nd_stability_physics_variables.beta_upper_limit________________________ (epbetmax)____________________      1.3800E+00    
 Beta_g_coefficient______________________________________________________ (dnbeta)______________________      4.5000E+00    
 Normalised_thermal_beta_________________________________________________ ______________________________      2.8067E+00    
 Normalised_total_beta___________________________________________________ ______________________________      3.1975E+00    
 Normalised_toroidal_beta________________________________________________ (normalised_toroidal_beta)____      3.5806E+00    
 Limit_on_thermal_+_NB_beta______________________________________________ (betalim)_____________________      1.6189E-01    
 Plasma_thermal_energy_(J)_______________________________________________ ______________________________      4.9223E+08 OP 
 Total_plasma_internal_energy_(J)________________________________________ (total_plasma_internal_energy)      5.6076E+08 OP 
 Electron_temperature_(keV)______________________________________________ (te)__________________________      9.5609E+00 ITV
 Electron_temperature_on_axis_(keV)______________________________________ (te0)_________________________      1.8625E+01    
 Ion_temperature_(keV)___________________________________________________ (ti)__________________________      1.0173E+01    
 Ion_temperature_on_axis_(keV)___________________________________________ (ti0)_________________________      1.9817E+01    
 Electron_temp.,_density_weighted_(keV)__________________________________ (ten)_________________________      1.1952E+01    
 Electron_density_(/m3)__________________________________________________ (dene)________________________      1.2276E+20 ITV
 Electron_density_on_axis_(/m3)__________________________________________ (ne0)_________________________      2.2655E+20 OP 
 Line-averaged_electron_density_(/m3)____________________________________ (dnla)________________________      1.5829E+20 OP 
 Line-averaged_electron_density_/_Greenwald_density______________________ (dnla_gw)_____________________      8.6394E-01 OP 
 Ion_density_(/m3)_______________________________________________________ (dnitot)______________________      1.1074E+20 OP 
 Fuel_density_(/m3)______________________________________________________ (deni)________________________      1.0278E+20 OP 
 Total_impurity_density_with_Z_>_2_(no_He)_(/m3)_________________________ (dnz)_________________________      9.1127E+16 OP 
 Helium_ion_density_(thermalised_ions_only)_(/m3)________________________ (dnalp)_______________________      7.8473E+18 OP 
 Proton_density_(/m3)____________________________________________________ (dnprot)______________________      2.0479E+16 OP 
 Hot_beam_density_(/m3)__________________________________________________ (dnbeam)______________________      0.0000E+00 OP 
 Density_limit_from_scaling_(/m3)________________________________________ (dnelimt)_____________________      1.8322E+20 OP 
 Density_limit_(enforced)_(/m3)__________________________________________ (boundu(9)*dnelimt)___________      1.8322E+20 OP 
 Helium_ion_density_(thermalised_ions_only)_/_electron_density___________ (ralpne)______________________      6.3924E-02 ITV
 H__concentration________________________________________________________ (fimp(01))____________________      8.3743E-01 OP 
 He_concentration________________________________________________________ (fimp(02))____________________      6.3924E-02    
 Be_concentration________________________________________________________ (fimp(03))____________________      0.0000E+00    
 C__concentration________________________________________________________ (fimp(04))____________________      0.0000E+00    
 N__concentration________________________________________________________ (fimp(05))____________________      0.0000E+00    
 O__concentration________________________________________________________ (fimp(06))____________________      0.0000E+00    
 Ne_concentration________________________________________________________ (fimp(07))____________________      0.0000E+00    
 Si_concentration________________________________________________________ (fimp(08))____________________      0.0000E+00    
 Ar_concentration________________________________________________________ (fimp(09))____________________      0.0000E+00    
 Fe_concentration________________________________________________________ (fimp(10))____________________      0.0000E+00    
 Ni_concentration________________________________________________________ (fimp(11))____________________      0.0000E+00    
 Kr_concentration________________________________________________________ (fimp(12))____________________      0.0000E+00    
 Xe_concentration________________________________________________________ (fimp(13))____________________      6.9231E-04 ITV
 W__concentration________________________________________________________ (fimp(14))____________________      5.0000E-05    
 Average_mass_of_all_ions_(amu)__________________________________________ (aion)________________________      2.7149E+00 OP 
 Effective_charge________________________________________________________ (zeff)________________________      2.7200E+00    
 Density_profile_factor__________________________________________________ (alphan)______________________      8.0000E-01    
 Plasma_profile_model____________________________________________________ (ipedestal)___________________              1    
 Density_pedestal_r/a_location___________________________________________ (rhopedn)_____________________      9.5000E-01    
 Electron_density_pedestal_height_(/m3)__________________________________ (neped)_______________________      1.8402E+19 OP 
 Electron_density_at_pedestal_/_nGW______________________________________ (fgwped_out)__________________      1.0043E-01    
 Temperature_pedestal_r/a_location_______________________________________ (rhopedt)_____________________      9.2500E-01    
 Pedestal_scaling_switch_________________________________________________ (ieped)_______________________              0    
 Electron_temp._pedestal_height_(keV)____________________________________ (teped)_______________________      5.4300E+00    
 Electron_temp._at_separatrix_(keV)______________________________________ (tesep)_______________________      1.6000E-01    
 Electron_density_at_separatrix_(/m3)____________________________________ (nesep)_______________________      1.8308E+19    
 Electron_density_at_separatrix_/_nGW____________________________________ (fgwsep_out)__________________      9.9923E-02    
 Temperature_profile_index_______________________________________________ (alphat)______________________      1.5000E+00    
 Temperature_profile_index_beta__________________________________________ (tbeta)_______________________      2.0000E+00    
 Old_ASDEX_model_________________________________________________________ (dlimit(1))___________________      2.0777E+20 OP 
 Borrass_ITER_model_I____________________________________________________ (dlimit(2))___________________      4.3730E+20 OP 
 Borrass_ITER_model_II___________________________________________________ (dlimit(3))___________________      1.7306E+20 OP 
 JET_edge_radiation_model________________________________________________ (dlimit(4))___________________      7.7893E+21 OP 
 JET_simplified_model____________________________________________________ (dlimit(5))___________________      1.7208E+21 OP 
 Hugill-Murakami_Mq_model________________________________________________ (dlimit(6))___________________      7.2137E+19 OP 
 Greenwald_model_________________________________________________________ (dlimit(7))___________________      1.8322E+20 OP 
 Deuterium_fuel_fraction_________________________________________________ (fdeut)_______________________      5.0000E-01    
 Tritium_fuel_fraction___________________________________________________ (ftrit)_______________________      5.0000E-01    
 Total_fusion_power_(MW)_________________________________________________ (powfmw)______________________      1.6800E+03 OP 
 _=____D-T_fusion_power_(MW)_____________________________________________ (pdt)_________________________      1.6781E+03 OP 
 __+___D-D_fusion_power_(MW)_____________________________________________ (pdd)_________________________      1.8736E+00 OP 
 __+_D-He3_fusion_power_(MW)_____________________________________________ (pdhe3)_______________________      0.0000E+00 OP 
 Alpha_power:_total_(MW)_________________________________________________ (palpmw)______________________      3.3563E+02 OP 
 Alpha_power:_beam-plasma_(MW)___________________________________________ (palpnb)______________________      0.0000E+00 OP 
 Neutron_power_(MW)______________________________________________________ (pneutmw)_____________________      1.3432E+03 OP 
 Charged_particle_power_(excluding_alphas)_(MW)__________________________ (pchargemw)___________________      1.2209E+00 OP 
 Total_power_deposited_in_plasma_(MW)____________________________________ (tot_power_plasma)____________      4.7006E+02 OP 
 Bremsstrahlung_radiation_power_(MW)_____________________________________ (pbrempv*vol)_________________      7.6816E+01 OP 
